10	18	19	29	32	33	b09	
05	07	10	23	28	29	b03	
01	07	10	16	22	33	b09	
03	06	13	14	19	28	b06	
03	05	06	13	20	22	b07	
01	05	11	20	22	24	b02	
03	08	14	20	24	26	b12	
14	18	21	25	28	29	b10	
03	05	14	25	26	30	b05	
01	12	16	20	22	24	b08	
03	07	14	23	25	27	b08	
05	07	18	19	22	24	b16	
01	02	04	15	17	22	b14	
01	04	08	09	14	15	b13	
01	03	06	19	21	29	b07	
02	06	16	23	30	31	b02	
03	06	16	23	26	30	b14	
06	11	14	23	26	30	b02	
02	03	06	14	31	32	b03	
01	06	14	22	25	26	b12	
02	11	12	23	29	31	b05	
02	06	10	22	30	31	b15	
01	03	04	10	18	29	b04	
01	04	06	17	19	26	b03	
02	05	08	10	12	21	b07	
02	10	16	22	24	28	b15	
12	16	20	22	25	31	b04	
01	07	22	24	26	31	b10	
06	07	12	20	26	27	b11	
05	10	13	24	26	31	b04	
04	08	09	15	19	25	b09	
01	09	13	22	28	32	b11	
18	20	22	23	30	31	b16	
13	14	18	19	21	28	b06	
07	12	13	20	24	31	b05	
02	03	09	23	28	33	b08	
04	09	11	15	29	31	b06	
07	08	18	24	29	31	b07	
02	05	09	15	24	25	b11	
10	12	20	24	27	29	b07	
01	08	14	15	20	29	b10	
05	08	09	14	15	19	b07	
02	05	08	10	32	33	b02	
04	13	14	23	26	32	b10	
05	07	16	20	21	25	b05	
08	16	19	21	31	32	b06	
08	13	16	23	27	31	b08	
01	02	04	07	10	23	b04	
04	10	13	15	22	27	b04	
15	19	23	28	29	33	b04	
02	04	12	14	17	24	b15	
01	04	08	13	24	27	b05	
01	02	05	10	24	27	b15	
11	15	20	22	25	30	b05	
01	06	14	24	28	32	b12	
04	07	08	19	32	33	b13	
05	07	15	20	23	30	b15	
05	08	15	24	27	31	b11	
06	10	16	26	27	29	b03	
01	07	09	20	23	30	b02	
02	15	21	23	25	30	b10	
07	08	12	13	22	30	b09	
02	04	11	14	27	30	b05	
03	10	12	19	27	30	b08	
02	15	16	17	22	32	b07	
09	21	25	26	29	31	b13	
01	03	04	11	18	22	b14	
02	06	15	16	18	32	b15	
02	05	10	22	32	33	b09	
04	08	10	12	31	33	b10	
04	06	08	12	23	25	b08	
01	02	03	17	25	31	b09	
03	07	08	10	22	23	b12	
05	08	16	22	27	29	b02	
01	08	09	14	17	32	b01	
06	08	18	20	23	31	b13	
08	11	28	29	31	33	b06	
10	11	14	15	16	24	b07	
10	11	12	23	26	29	b16	
05	08	19	25	28	30	b07	
02	06	08	09	15	29	b14	
07	13	15	27	28	29	b13	
02	04	05	24	26	33	b15	
02	04	08	26	29	33	b08	
06	11	12	22	23	30	b05	
05	13	17	26	27	30	b07	
01	04	08	15	27	32	b16	
15	19	23	24	25	32	b03	
09	11	14	20	25	26	b15	
07	09	16	24	25	29	b06	
02	08	09	16	20	22	b07	
06	11	16	20	22	33	b07	
02	04	05	09	13	21	b05	
03	20	23	26	32	33	b07	
01	02	11	20	26	30	b14	
04	14	18	28	31	32	b12	
03	07	15	16	17	23	b10	
01	03	07	12	19	20	b06	
04	10	12	27	32	33	b05	
06	09	23	24	25	33	b13	
01	10	17	21	23	30	b12	
04	13	15	17	21	24	b15	
01	02	05	17	26	32	b10	
01	06	19	26	28	30	b03	
07	16	20	24	25	30	b07	
01	06	09	10	15	32	b14	
02	07	10	20	27	29	b03	
02	08	10	18	20	33	b12	
11	12	13	14	18	33	b13	
15	16	21	22	27	33	b15	
05	08	13	19	27	28	b07	
03	17	21	23	27	28	b01	
04	10	18	19	25	27	b02	
05	06	08	21	31	33	b14	
04	09	11	17	26	27	b13	
07	12	17	26	29	31	b16	
02	06	12	17	18	19	b10	
01	06	08	20	27	30	b03	
09	15	21	24	27	32	b10	
07	09	12	14	20	27	b16	
15	22	23	24	28	29	b08	
02	03	10	23	25	28	b09	
02	05	06	21	25	28	b09	
09	19	21	30	31	32	b04	
09	14	22	23	31	33	b14	
03	10	14	17	28	33	b02	
07	18	20	23	27	31	b13	
06	08	20	22	26	27	b09	
05	16	20	22	27	29	b09	
01	11	16	17	20	26	b14	
06	12	14	15	18	25	b12	
02	04	07	14	15	32	b04	
05	07	28	31	32	33	b08	
09	11	15	16	27	33	b05	
02	03	07	08	19	26	b16	
06	11	18	26	27	32	b01	
04	05	13	22	25	30	b04	
